,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
322,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
323,"frozenset({'abtest_test', 'seller_privat'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
324,"frozenset({'abtest_test', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3096,1.0,0.3096,1.0,1.0,0.0,inf
325,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
326,"frozenset({'offerType_Angebot', 'abtest_test', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
327,"frozenset({'offerType_Angebot', 'abtest_test', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
328,"frozenset({'notRepairedDamage_nein', 'abtest_test', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
329,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
330,"frozenset({'abtest_test', 'seller_privat'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
331,"frozenset({'notRepairedDamage_nein', 'abtest_test'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3632,1.0,0.3632,1.0,1.0,0.0,inf
332,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
333,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'abtest_test'})",frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
334,"frozenset({'offerType_Angebot', 'abtest_test', 'seller_privat'})",frozenset({'nrOfPictures_0'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
335,"frozenset({'nrOfPictures_0', 'abtest_test', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
336,"frozenset({'offerType_Angebot', 'abtest_test'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
337,"frozenset({'nrOfPictures_0', 'abtest_test'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
338,"frozenset({'abtest_test', 'seller_privat'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
339,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
340,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'kilometer_150000'}),0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
341,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'kilometer_150000'})",frozenset({'seller_privat'}),0.4796,1.0,0.4796,1.0,1.0,0.0,inf
342,"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",frozenset({'gearbox_manuell'}),0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
343,"frozenset({'seller_privat', 'gearbox_manuell', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.4796,1.0,0.4796,1.0,1.0,0.0,inf
344,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'seller_privat', 'kilometer_150000'})",0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
345,"frozenset({'offerType_Angebot', 'kilometer_150000'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
346,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'kilometer_150000'})",0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
347,"frozenset({'gearbox_manuell', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4796,1.0,0.4796,1.0,1.0,0.0,inf
348,"frozenset({'seller_privat', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
349,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
350,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
351,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'fuelType_benzin'}),0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
352,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4756,1.0,0.4756,1.0,1.0,0.0,inf
353,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'gearbox_manuell'}),0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
354,"frozenset({'seller_privat', 'gearbox_manuell', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.4756,1.0,0.4756,1.0,1.0,0.0,inf
355,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
356,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
357,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
358,"frozenset({'gearbox_manuell', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4756,1.0,0.4756,1.0,1.0,0.0,inf
359,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
360,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
361,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
362,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
363,"frozenset({'offerType_Angebot', 'gearbox_manuell', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
364,"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
365,"frozenset({'notRepairedDamage_nein', 'seller_privat', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
366,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
367,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
368,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
369,"frozenset({'notRepairedDamage_nein', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.5286,1.0,0.5286,1.0,1.0,0.0,inf
370,"frozenset({'notRepairedDamage_nein', 'seller_privat'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
371,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
372,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
373,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
374,"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
375,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
376,"frozenset({'seller_privat', 'nrOfPictures_0', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
377,"frozenset({'offerType_Angebot', 'gearbox_manuell'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
378,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})","frozenset({'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
379,"frozenset({'offerType_Angebot', 'seller_privat'})","frozenset({'nrOfPictures_0', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
380,"frozenset({'nrOfPictures_0', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
381,"frozenset({'seller_privat', 'gearbox_manuell'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
382,"frozenset({'nrOfPictures_0', 'seller_privat'})","frozenset({'offerType_Angebot', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
383,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'nrOfPictures_0', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
384,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
385,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
386,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
387,"frozenset({'offerType_Angebot', 'fuelType_benzin', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
388,"frozenset({'fuelType_benzin', 'seller_privat', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
389,"frozenset({'fuelType_benzin', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.3514,1.0,0.3514,1.0,1.0,0.0,inf
390,"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
391,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein', 'kilometer_150000'})",frozenset({'seller_privat'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
392,"frozenset({'notRepairedDamage_nein', 'seller_privat', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
393,"frozenset({'offerType_Angebot', 'kilometer_150000'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
394,"frozenset({'seller_privat', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
395,"frozenset({'notRepairedDamage_nein', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4216,1.0,0.4216,1.0,1.0,0.0,inf
396,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
397,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
398,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'kilometer_150000'})",frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
399,"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
400,"frozenset({'nrOfPictures_0', 'seller_privat', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
401,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})","frozenset({'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
402,"frozenset({'offerType_Angebot', 'seller_privat'})","frozenset({'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
403,"frozenset({'offerType_Angebot', 'kilometer_150000'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
404,"frozenset({'nrOfPictures_0', 'seller_privat'})","frozenset({'offerType_Angebot', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
405,"frozenset({'nrOfPictures_0', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
406,"frozenset({'seller_privat', 'kilometer_150000'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
407,frozenset({'offerType_Angebot'}),"frozenset({'nrOfPictures_0', 'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
408,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
409,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
410,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
411,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
412,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
413,"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
414,"frozenset({'notRepairedDamage_nein', 'seller_privat', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
415,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
416,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})","frozenset({'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
417,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
418,"frozenset({'notRepairedDamage_nein', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.4306,1.0,0.4306,1.0,1.0,0.0,inf
419,"frozenset({'notRepairedDamage_nein', 'seller_privat'})","frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
420,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
421,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
422,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
423,"frozenset({'offerType_Angebot', 'seller_privat', 'fuelType_benzin'})",frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
424,"frozenset({'nrOfPictures_0', 'seller_privat', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
425,"frozenset({'offerType_Angebot', 'fuelType_benzin'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
426,"frozenset({'nrOfPictures_0', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
427,"frozenset({'seller_privat', 'fuelType_benzin'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
428,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
429,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
430,"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
431,"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
432,"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
433,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
434,"frozenset({'offerType_Angebot', 'seller_privat'})","frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
435,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
436,"frozenset({'nrOfPictures_0', 'seller_privat'})","frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
437,"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})","frozenset({'offerType_Angebot', 'seller_privat'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
438,"frozenset({'notRepairedDamage_nein', 'seller_privat'})","frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
439,frozenset({'offerType_Angebot'}),"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0', 'seller_privat'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
440,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
441,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
442,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0', 'seller_privat'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
443,"frozenset({'abtest_control', 'nrOfPictures_0', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
444,"frozenset({'seller_privat', 'abtest_control', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
445,"frozenset({'abtest_control', 'nrOfPictures_0', 'seller_privat'})",frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
446,"frozenset({'abtest_control', 'gearbox_manuell'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.3598,1.0,0.3598,1.0,1.0,0.0,inf
447,"frozenset({'abtest_control', 'nrOfPictures_0'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
448,"frozenset({'abtest_control', 'seller_privat'})","frozenset({'nrOfPictures_0', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
449,frozenset({'abtest_control'}),"frozenset({'seller_privat', 'nrOfPictures_0', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
450,"frozenset({'abtest_control', 'nrOfPictures_0', 'seller_privat'})",frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
451,"frozenset({'abtest_control', 'nrOfPictures_0', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3098,1.0,0.3098,1.0,1.0,0.0,inf
452,"frozenset({'abtest_control', 'seller_privat', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.3098,1.0,0.3098,1.0,1.0,0.0,inf
453,"frozenset({'abtest_control', 'nrOfPictures_0'})","frozenset({'seller_privat', 'kilometer_150000'})",0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
454,"frozenset({'abtest_control', 'seller_privat'})","frozenset({'nrOfPictures_0', 'kilometer_150000'})",0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
455,"frozenset({'abtest_control', 'kilometer_150000'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.3098,1.0,0.3098,1.0,1.0,0.0,inf
456,frozenset({'abtest_control'}),"frozenset({'nrOfPictures_0', 'seller_privat', 'kilometer_150000'})",0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
457,"frozenset({'notRepairedDamage_nein', 'abtest_control', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.3438,1.0,0.3438,1.0,1.0,0.0,inf
458,"frozenset({'notRepairedDamage_nein', 'abtest_control', 'seller_privat'})",frozenset({'nrOfPictures_0'}),0.3438,1.0,0.3438,1.0,1.0,0.0,inf
459,"frozenset({'abtest_control', 'nrOfPictures_0', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
460,"frozenset({'notRepairedDamage_nein', 'abtest_control'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.3438,1.0,0.3438,1.0,1.0,0.0,inf
461,"frozenset({'abtest_control', 'nrOfPictures_0'})","frozenset({'notRepairedDamage_nein', 'seller_privat'})",0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
462,"frozenset({'abtest_control', 'seller_privat'})","frozenset({'notRepairedDamage_nein', 'nrOfPictures_0'})",0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
463,frozenset({'abtest_control'}),"frozenset({'notRepairedDamage_nein', 'nrOfPictures_0', 'seller_privat'})",0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
464,"frozenset({'nrOfPictures_0', 'abtest_test', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.3796,1.0,0.3796,1.0,1.0,0.0,inf
465,"frozenset({'seller_privat', 'abtest_test', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.3796,1.0,0.3796,1.0,1.0,0.0,inf
466,"frozenset({'nrOfPictures_0', 'abtest_test', 'seller_privat'})",frozenset({'gearbox_manuell'}),0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
467,"frozenset({'abtest_test', 'gearbox_manuell'})","frozenset({'nrOfPictures_0', 'seller_privat'})",0.3796,1.0,0.3796,1.0,1.0,0.0,inf
468,"frozenset({'nrOfPictures_0', 'abtest_test'})","frozenset({'seller_privat', 'gearbox_manuell'})",0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
469,"frozenset({'abtest_test', 'seller_privat'})","frozenset({'nrOfPictures_0', 'gearbox_manuell'})",0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
470,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'nrOfPictures_0', 'gearbox_manuell'})",0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
